"clinton1.htm | Question 0"
"Bloomberg Politics Poll conducted by Selzer & Company. March 19-22, 2016. N=1,000 adults nationwide. Margin of error ± 3.1."
"I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so. Bill Clinton, former president of the United States."
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""5/29-31/15""",64,33,3,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""3/13-15/15""",65,31,2,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""5/29 - 6/1/14""",66,31,2,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""3/7-9/14""",66,33,2,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""5/29-31/12""",66,31,3,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""10/27-30/10""",63,33,3,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""10/16-18/09""",64,33,4,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""12/1-2/08""",60,38,2,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""8/23-24/08""",53,44,2,-,,,rv,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""6/26-29/08""",51,46,3,-,,,rv,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""4/28-30/08""",53,43,3,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""2/1-3/08""",55,42,3,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""6/22-24/07""",60,36,3,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""3/9-11/07""",58,36,5,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""9/22-24/06""",60,37,3,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
"=""4/21-23/06""",57,38,4,-,,,,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll






"clinton1.htm | Question 2"
"Quinnipiac University. Feb. 10-15, 2016. N=1,342 registered voters nationwide. Margin of error ± 2.7."
"Is your opinion of Bill Clinton favorable, unfavorable or haven't you heard enough about him?"
date,favorable,unfavorable,haven't heard enough,refused,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""2/10-15/16""",53,41,4,2,1342,2,rv,favorability,http://www.pollingreport.com/clinton1.htm,"Quinnipiac University. Feb. 10-15, 2016. N=1,342 registered voters nationwide. Margin of error ± 2.7.","""Is your opinion of Bill Clinton favorable, unfavorable or haven't you heard enough about him?""",Quinnipiac University






"clinton1.htm | Question 3"
"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4."
"Overall, do you have a favorable or unfavorable impression of Bill Clinton?"
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/6-10/16""",53,43,4,1000,4,a,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""5/21-25/14""",63,32,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""8/19-22/08""",55,43,2,,,rv,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""4/10-13/08""",47,51,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/30 - 2/1/08""",55,42,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""2/22-25/07""",55,42,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/16-19/07""",61,37,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""5/11-15/06""",59,39,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""12/00""",56,40,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""7/00""",44,50,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""6/5-6/99""",52,44,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""2/12-14/99""",57,40,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/28-30/99""",54,42,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""9/25-28/98""",48,47,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""9/11-13/98""",50,45,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""8/23/98""",45,49,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""8/19-21/98""",56,40,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""8/19/98""",39,57,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""7/9-12/98""",54,40,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""5/12/98""",54,42,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""4/2-4/98""",55,39,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""3/16/98""",50,46,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""2/17-18/98""",56,41,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/28-31/98""",60,34,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/29-30/98""",60,35,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/25-26/98""",53,43,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/23-25/98""",54,42,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/23-24/98""",51,44,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/15-19/98""",59,35,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""1/11-13/98""",59,33,7,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""10/9-13/97""",59,37,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""9/10/97""",57,38,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll
"=""3/6-9/97""",60,38,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"ABC News/Washington Post Poll. Jan. 6-10, 2016. N=1,000 adults nationwide. Margin of error ± 4.","""Overall, do you have a favorable or unfavorable impression of Bill Clinton?""",ABC News/Washington Post Poll






"clinton1.htm | Question 4"
"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4."
"Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?"
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""5/6-10/15""",59,38,2,1024,4,a,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""6/5-8/14""",64,34,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/20-22/12""",69,27,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""7/9-12/12""",66,28,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""7/8-11/10""",61,34,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/21-23/08""",52,44,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""5/30 - 6/1/08""",50,45,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""4/18-20/08""",52,45,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/30 - 2/2/08""",50,47,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""10/4-7/07""",56,40,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""3/23-25/07""",60,38,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/9-11/07""",63,35,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""6/23-25/06""",59,37,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""10/21-23/05""",60,38,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/4-6/05""",56,41,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""7/19-21/04""",54,43,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""6/21-23/04""",53,44,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""6/9-10/03""",54,45,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""3/14-15/03""",46,51,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""9/23-26/02""",47,49,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""11/26-27/02""",48,47,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/3-5/01""",49,48,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""4/20-22/01""",48,50,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""3/5-7/01""",39,59,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/19-21/01""",42,55,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
