"bushfav2.htm | Question 0"
"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3."
"Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know."
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""10/19-21/04""",51,42,8,1059,3,rv,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""10/14-15/04""",49,40,11,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""10/6-7/04""",48,42,10,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""9/21-23/04""",49,37,13,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""9/7-9/04""",54,38,8,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""8/31 - 9/2/04""",52,40,8,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""8/24-26/04""",46,39,16,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""8/3-5/04""",45,45,10,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""7/20-22/04""",45,46,10,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"






"bushfav2.htm | Question 1"
"University of Pennsylvania National Annenberg Election Survey. Oct. 1-6, 2004. N=1,868 registered voters nationwide. MoE ± 2. Interviewing conducted by Schulman, Ronca, Bucuvalas, Inc.   "
"Please tell me if your opinion is favorable or unfavorable, using a scale from 0 to 10. Zero means very unfavorable, and 10 means very favorable. Five means you do not feel favorable or unfavorable toward that person. Of course you can use any number between 0 and 10. The person is George W. Bush. On a scale of 0 to 10, how would you rate George W. Bush?"
manually enter poll





"bushfav2.htm | Question 2"
"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  "
"Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?"
date,favorable,unfavorable,not familiar,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""10/7-13/02""",54,34,10,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""9/3-8/02""",56,32,10,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""8/5-9/02""",57,29,11,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""7/8-11/02""",62,26,11,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""6/4-9/02""",61,25,11,3,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""5/8-13/02""",66,22,10,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""4/9-14/02""",67,21,9,3,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""3/5-11/02""",67,20,10,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""2/5-9/02""",72,19,7,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""1/9-13/02""",72,17,10,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""12/5-9/01""",75,15,9,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""11/7-11/01""",76,15,8,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""10/3-7/01""",76,14,9,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""9/5-9/01""",44,39,16,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""8/8-12/01""",43,37,18,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""7/12-16/01""",45,37,17,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""6/7-10/01""",44,37,17,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""5/3-7/01""",51,30,18,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""4/6-10/01""",43,37,19,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""3/8-12/01""",48,29,22,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"
"=""2/15-19/01""",47,31,20,2,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  ","""Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?""","Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence"






"bushfav2.htm | Question 3"
"Quinnipiac University Poll. July 18-22, 2004. N=1,551 registered voters nationwide. MoE ± 2.5. "
"Is your opinion of George W. Bush favorable, unfavorable, mixed, or haven't you heard enough about him?"
date,favorable,unfavorable,mixed,haven't heard enough,refused,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""7/18-22/04""",40,35,22,2,1,1551,2,rv,favorability,http://www.pollingreport.com/bushfav2.htm,"Quinnipiac University Poll. July 18-22, 2004. N=1,551 registered voters nationwide. MoE ± 2.5. ","""Is your opinion of George W. Bush favorable, unfavorable, mixed, or haven't you heard enough about him?""",Quinnipiac University Poll
"=""5/18-24/04""",40,39,18,2,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Quinnipiac University Poll. July 18-22, 2004. N=1,551 registered voters nationwide. MoE ± 2.5. ","""Is your opinion of George W. Bush favorable, unfavorable, mixed, or haven't you heard enough about him?""",Quinnipiac University Poll
"=""4/26 - 5/3/04""",40,39,19,2,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Quinnipiac University Poll. July 18-22, 2004. N=1,551 registered voters nationwide. MoE ± 2.5. ","""Is your opinion of George W. Bush favorable, unfavorable, mixed, or haven't you heard enough about him?""",Quinnipiac University Poll
