"CongJob1.htm | Question 0"
"Fox News Poll conducted by Anderson Robbins Research (D) and Shaw & Company Research (R). March 20-22, 2016. N=1,016 registered voters nationwide. Margin of error ± 3. "
"Do you approve or disapprove of the job Congress is doing?"
manually enter poll





"CongJob1.htm | Question 1"
"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3."
"Do you approve or disapprove of the way Congress is handling its job?"
date,approve,disapprove,unsure/ no answer,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/9-12/15""",16,72,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/23-27/14""",14,76,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/3-6/14""",15,78,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/29 - 8/4/14""",15,78,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""6/20-22/14""",14,78,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/16-19/14""",12,80,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/20-23/14""",18,76,6,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/19-23/14""",13,80,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/17-21/14""",11,82,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""12/5-8/13""",10,83,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""11/15-18/13""",11,85,5,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/18-21/13""",9,85,6,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/19-23/13""",14,80,6,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/6-8/13""",24,68,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/18-22/13""",17,76,6,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/31 - 6/4/13""",13,80,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/24-28/13""",17,75,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/20-24/13""",11,81,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/6-10/13""",14,77,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/11-15/13""",12,82,6,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""12/12-16/12""",11,81,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/25-28/12""",15,75,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/8-12/12""",16,74,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""8/22-26/12""",14,74,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/11-16/12""",12,79,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/31 - 6/3/12""",15,77,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/13-17/12""",13,77,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/8-13/12""",10,82,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/12-17/12""",13,79,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/4-8/12""",12,80,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""12/14-18/11""",11,83,6,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""12/5-7/11""",11,82,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""11/6-10/11""",9,83,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/19-24/11""",9,84,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/28 - 10/2/11""",11,80,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/10-15/11""",12,80,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""6/24-28/11""",20,70,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""6/3-7/11""",18,72,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/15-20/11""",16,75,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/18-21/11""",21,66,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/11-14/11""",24,62,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""11/29 - 12/2/10""",17,72,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/21-26/10""",10,82,8,,,lv,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/1-5/10""",18,71,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/10-14/10""",21,70,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""8/20-24/10""",22,71,7,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""6/16-20/10""",19,70,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/20-24/10""",15,77,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/5-12/10""",17,73,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/29 - 4/1/10""",16,74,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/18-21/10""",14,76,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/5-10/10""",15,75,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/14-17/10""",23,63,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""11/13-16/09""",26,60,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/5-8/09""",22,65,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""8/27-31/09""",26,58,16,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/9-12/09""",22,65,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/22-26/09""",28,55,17,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/1-5/09""",26,64,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/20-22/09""",30,56,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/12-16/09""",30,56,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/18-22/09""",26,63,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/2-4/09""",26,62,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/25-29/08""",15,75,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/19-22/08""",17,70,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/10-13/08""",12,74,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/3-5/08""",15,73,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/27-30/08""",15,72,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/25-29/08""",21,68,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""12/5-9/07""",21,64,15,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/12-16/07""",27,59,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/14-16/07""",27,65,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/4-8/07""",23,66,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""8/8-12/07""",25,63,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/20-22/07""",26,61,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/9-17/07""",29,59,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""6/26-28/07""",27,60,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/18-23/07""",36,52,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/9-12/07""",34,54,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/7-11/07""",31,53,16,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/23-27/07""",33,50,17,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/8-11/07""",32,52,16,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/18-21/07""",33,49,18,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/27-31/06""",29,56,15,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/5-8/06""",27,64,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""9/15-19/06""",25,61,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""8/17-21/06""",29,60,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/21-25/06""",28,58,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""6/10-11/06""",26,60,14,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/16-17/06""",26,59,15,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/4-8/06""",23,64,13,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/6-9/06""",27,61,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
